"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
9	0.926771838945138	4	4	"Churn"	"Yes"	0
10	0.873965328752147	4	4	"Churn"	"Yes"	0
11	0.890790380544479	4	4	"Churn"	"Yes"	0
12	0.925494315973572	4	4	"Churn"	"Yes"	0
13	0.889962121212121	4	4	"Churn"	"Yes"	0
14	0.889831912878788	4	4	"Churn"	"Yes"	0
15	0.901994958974634	4	4	"Churn"	"Yes"	0
16	0.898725742342764	4	4	"Churn"	"Yes"	0
17	0.923140353468222	4	4	"Churn"	"Yes"	0
18	0.885833942532866	4	4	"Churn"	"Yes"	0
19	0.911308759704138	4	4	"Churn"	"Yes"	0
20	0.885714285714286	4	4	"Churn"	"Yes"	0
21	0.922012643205988	4	4	"Churn"	"Yes"	0
22	0.885172760052946	4	4	"Churn"	"Yes"	0
23	0.94541802832244	4	4	"Churn"	"Yes"	0
24	0.937214007599017	4	4	"Churn"	"Yes"	0
25	0.906089556505891	4	4	"Churn"	"Yes"	0
26	0.924169291158884	4	4	"Churn"	"Yes"	0
27	0.915952838083986	4	4	"Churn"	"Yes"	0
28	0.939143355513922	4	4	"Churn"	"Yes"	0
29	0.913178718309126	4	4	"Churn"	"Yes"	0
30	0.931936746952955	4	4	"Churn"	"Yes"	0
1	0.92002658396101	5	5	"Churn"	"Yes"	0
2	0.924688484184582	5	5	"Churn"	"Yes"	0
3	0.931343626241176	5	5	"Churn"	"Yes"	0
4	0.91600953603521	5	5	"Churn"	"Yes"	0
5	0.895762310606061	5	5	"Churn"	"Yes"	0
6	0.917376893939394	5	5	"Churn"	"Yes"	0
7	0.908025568181818	5	5	"Churn"	"Yes"	0
8	0.908495508982036	5	5	"Churn"	"Yes"	0
9	0.934138957307061	5	5	"Churn"	"Yes"	0
10	0.935974299092567	5	5	"Churn"	"Yes"	0
11	0.917753932447263	5	5	"Churn"	"Yes"	0
12	0.921012679751263	5	5	"Churn"	"Yes"	0
13	0.91623627744511	5	5	"Churn"	"Yes"	0
14	0.919305139720559	5	5	"Churn"	"Yes"	0
15	0.918202605321508	5	5	"Churn"	"Yes"	0
16	0.904600187046996	5	5	"Churn"	"Yes"	0
17	0.902939602289102	5	5	"Churn"	"Yes"	0
