"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
6	0.915587685225147	5	5	"Churn"	0
7	0.912145167085879	5	5	"Churn"	0
8	0.921456079222446	5	5	"Churn"	0
9	0.919954528896761	5	5	"Churn"	0
10	0.893176470588235	5	5	"Churn"	0
11	0.926866394079509	5	5	"Churn"	0
12	0.946986045173356	5	5	"Churn"	0
13	0.923927326360955	5	5	"Churn"	0
14	0.88697748284272	5	5	"Churn"	0
15	0.941741516966068	5	5	"Churn"	0
16	0.935300054152513	5	5	"Churn"	0
17	0.896010348583878	5	5	"Churn"	0
18	0.937645180887941	5	5	"Churn"	0
19	0.944334065321203	5	5	"Churn"	0
20	0.916411586137111	5	5	"Churn"	0
21	0.947041303598681	5	5	"Churn"	0
22	0.943536931818182	5	5	"Churn"	0
23	0.880317349332371	5	5	"Churn"	0
24	0.918893298059965	5	5	"Churn"	0
25	0.915965976434498	5	5	"Churn"	0
26	0.933291101055807	5	5	"Churn"	0
27	0.903618355271671	5	5	"Churn"	0
28	0.933524973050665	5	5	"Churn"	0
29	0.922884300229433	5	5	"Churn"	0
30	0.942044134727062	5	5	"Churn"	0
1	0.940446218769482	6	6	"Churn"	0
2	0.945992709213863	6	6	"Churn"	0
3	0.929982024873688	6	6	"Churn"	0
4	0.941067864271457	6	6	"Churn"	0
5	0.933243413878207	6	6	"Churn"	0
6	0.912319920516642	6	6	"Churn"	0
7	0.921049288617886	6	6	"Churn"	0
8	0.902444385826079	6	6	"Churn"	0
9	0.9439147856452	6	6	"Churn"	0
10	0.926151560178306	6	6	"Churn"	0
11	0.918132789634648	6	6	"Churn"	0
12	0.939607007575758	6	6	"Churn"	0
13	0.906736714287484	6	6	"Churn"	0
14	0.942636905324884	6	6	"Churn"	0
15	0.936206369582493	6	6	"Churn"	0
16	0.890667508744656	6	6	"Churn"	0
17	0.950706845238095	6	6	"Churn"	0
18	0.942229298573854	6	6	"Churn"	0
19	0.923132044306257	6	6	"Churn"	0
20	0.906565032760466	6	6	"Churn"	0
21	0.889877131854025	6	6	"Churn"	0
22	0.90625623752495	6	6	"Churn"	0
23	0.920437222838137	6	6	"Churn"	0
24	0.938966648189209	6	6	"Churn"	0
25	0.887158308751229	6	6	"Churn"	0
26	0.912076866846604	6	6	"Churn"	0
27	0.922276128127192	6	6	"Churn"	0
28	0.914219896923317	6	6	"Churn"	0
29	0.930156437086782	6	6	"Churn"	0
30	0.875196053630154	6	6	"Churn"	0
1	0.924821946715906	7	7	"Churn"	0
2	0.887162007660207	7	7	"Churn"	0
3	0.930753536636446	7	7	"Churn"	0
4	0.936816951121927	7	7	"Churn"	0
5	0.928361990950226	7	7	"Churn"	0
6	0.919402985074627	7	7	"Churn"	0
7	0.915130073082598	7	7	"Churn"	0
8	0.923169417503261	7	7	"Churn"	0
9	0.952704461450362	7	7	"Churn"	0
10	0.861302656216713	7	7	"Churn"	0
11	0.932971556886228	7	7	"Churn"	0
12	0.945203521269372	7	7	"Churn"	0
13	0.93940244510978	7	7	"Churn"	0
14	0.951475664590419	7	7	"Churn"	0
15	0.901947887680243	7	7	"Churn"	0
16	0.918093514328808	7	7	"Churn"	0
17	0.945234004893539	7	7	"Churn"	0
18	0.924808004726038	7	7	"Churn"	0
19	0.923937165231738	7	7	"Churn"	0
20	0.903150866781196	7	7	"Churn"	0
21	0.921184777909568	7	7	"Churn"	0
22	0.913913483430306	7	7	"Churn"	0
23	0.930133841818888	7	7	"Churn"	0
