"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.693409586056645	1	1	"Churn"	"Yes"	0.1
2	0.677345900528918	1	1	"Churn"	"Yes"	0.1
3	0.68367860739462	1	1	"Churn"	"Yes"	0.1
4	0.635354291417166	1	1	"Churn"	"Yes"	0.1
5	0.69102733686067	1	1	"Churn"	"Yes"	0.1
6	0.68198600855033	1	1	"Churn"	"Yes"	0.1
7	0.672817540033289	1	1	"Churn"	"Yes"	0.1
8	0.670642246404975	1	1	"Churn"	"Yes"	0.1
9	0.666831713429916	1	1	"Churn"	"Yes"	0.1
10	0.5	0	1	"Churn"	"Yes"	0.1
11	0.67235029103226	1	1	"Churn"	"Yes"	0.1
12	0.669507984462667	1	1	"Churn"	"Yes"	0.1
13	0.5	0	1	"Churn"	"Yes"	0.1
14	0.644300370641477	1	1	"Churn"	"Yes"	0.1
15	0.655604143890885	1	1	"Churn"	"Yes"	0.1
16	0.698365693186465	1	1	"Churn"	"Yes"	0.1
17	0.675922217197493	1	1	"Churn"	"Yes"	0.1
18	0.653440144712191	1	1	"Churn"	"Yes"	0.1
19	0.702235772357724	1	1	"Churn"	"Yes"	0.1
20	0.649182372505543	1	1	"Churn"	"Yes"	0.1
21	0.659806910569106	1	1	"Churn"	"Yes"	0.1
22	0.676121603992967	1	1	"Churn"	"Yes"	0.1
23	0.671045558833169	1	1	"Churn"	"Yes"	0.1
24	0.685345643939394	1	1	"Churn"	"Yes"	0.1
25	0.666289834319378	1	1	"Churn"	"Yes"	0.1
26	0.680880541871921	1	1	"Churn"	"Yes"	0.1
27	0.688601980001735	1	1	"Churn"	"Yes"	0.1
28	0.661057228744824	1	1	"Churn"	"Yes"	0.1
29	0.666428480137567	1	1	"Churn"	"Yes"	0.1
30	0.5	0	1	"Churn"	"Yes"	0.1
1	0.698784194528875	2	2	"Churn"	"Yes"	0.1
2	0.681997462662195	2	2	"Churn"	"Yes"	0.1
3	0.709519961001642	2	2	"Churn"	"Yes"	0.1
4	0.668305887377373	2	2	"Churn"	"Yes"	0.1
5	0.670795908183633	2	2	"Churn"	"Yes"	0.1
6	0.666336717839098	2	2	"Churn"	"Yes"	0.1
7	0.83800420516793	2	2	"Churn"	"Yes"	0.1
8	0.677438446969697	2	2	"Churn"	"Yes"	0.1
9	0.648096004290695	2	2	"Churn"	"Yes"	0.1
10	0.683894230769231	2	2	"Churn"	"Yes"	0.1
11	0.672432193242751	2	2	"Churn"	"Yes"	0.1
12	0.677926367331855	2	2	"Churn"	"Yes"	0.1
13	0.701378254211332	2	2	"Churn"	"Yes"	0.1
14	0.688374465604353	2	2	"Churn"	"Yes"	0.1
15	0.66383889334709	2	2	"Churn"	"Yes"	0.1
16	0.654207111063442	2	2	"Churn"	"Yes"	0.1
17	0.659086741243352	2	2	"Churn"	"Yes"	0.1
18	0.708262310606061	2	2	"Churn"	"Yes"	0.1
19	0.691666666666667	2	2	"Churn"	"Yes"	0.1
20	0.686360626023912	2	2	"Churn"	"Yes"	0.1
21	0.690267135826016	2	2	"Churn"	"Yes"	0.1
22	0.66120404008144	2	2	"Churn"	"Yes"	0.1
23	0.682202888257576	2	2	"Churn"	"Yes"	0.1
24	0.691550918755498	2	2	"Churn"	"Yes"	0.1
25	0.679273124426319	2	2	"Churn"	"Yes"	0.1
26	0.704792692939245	2	2	"Churn"	"Yes"	0.1
27	0.673641906873614	2	2	"Churn"	"Yes"	0.1
28	0.699342251950948	2	2	"Churn"	"Yes"	0.1
29	0.693217701190906	2	2	"Churn"	"Yes"	0.1
30	0.661042944785276	2	2	"Churn"	"Yes"	0.1
1	0.860378193776878	3	3	"Churn"	"Yes"	0.1
2	0.876183994101299	3	3	"Churn"	"Yes"	0.1
3	0.858487215909091	3	3	"Churn"	"Yes"	0.1
4	0.848761569628409	3	3	"Churn"	"Yes"	0.1
5	0.870992140484725	3	3	"Churn"	"Yes"	0.1
6	0.85600393228792	3	3	"Churn"	"Yes"	0.1
7	0.676286705612398	2	3	"Churn"	"Yes"	0.1
8	0.673083483313924	3	3	"Churn"	"Yes"	0.1
9	0.693903436988543	2	3	"Churn"	"Yes"	0.1
10	0.80838014508841	3	3	"Churn"	"Yes"	0.1
11	0.872449475320637	3	3	"Churn"	"Yes"	0.1
12	0.812843063872255	3	3	"Churn"	"Yes"	0.1
13	0.849368704077713	3	3	"Churn"	"Yes"	0.1
14	0.672601192786816	2	3	"Churn"	"Yes"	0.1
15	0.856555411691363	3	3	"Churn"	"Yes"	0.1
