"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
29	0.949343441180452	3	3	"Corte 1"	"Yes"	0.1
30	0.950191195215217	3	3	"Corte 1"	"Yes"	0.1
1	0.997053220621503	4	4	"Corte 1"	"Yes"	0.1
2	0.966683162552399	4	4	"Corte 1"	"Yes"	0.1
3	0.970951343500363	4	4	"Corte 1"	"Yes"	0.1
4	0.996290894460231	4	4	"Corte 1"	"Yes"	0.1
5	0.986796418128655	4	4	"Corte 1"	"Yes"	0.1
6	0.9915372416056	4	4	"Corte 1"	"Yes"	0.1
7	0.965577514025542	4	4	"Corte 1"	"Yes"	0.1
8	0.981392106392106	4	4	"Corte 1"	"Yes"	0.1
9	0.985051934367003	4	4	"Corte 1"	"Yes"	0.1
10	0.975708290979227	4	4	"Corte 1"	"Yes"	0.1
11	0.995478543387031	4	4	"Corte 1"	"Yes"	0.1
12	0.991011396011396	4	4	"Corte 1"	"Yes"	0.1
13	0.987173018191475	4	4	"Corte 1"	"Yes"	0.1
14	0.99719489160159	4	4	"Corte 1"	"Yes"	0.1
15	0.982700892857143	4	4	"Corte 1"	"Yes"	0.1
16	0.978358892746914	4	4	"Corte 1"	"Yes"	0.1
17	0.969162995594714	4	4	"Corte 1"	"Yes"	0.1
18	0.977148878518742	4	4	"Corte 1"	"Yes"	0.1
19	0.954211563563769	4	4	"Corte 1"	"Yes"	0.1
20	0.956863839285714	4	4	"Corte 1"	"Yes"	0.1
21	0.981195906515181	4	4	"Corte 1"	"Yes"	0.1
22	0.974848625989753	4	4	"Corte 1"	"Yes"	0.1
23	0.991681810038136	4	4	"Corte 1"	"Yes"	0.1
24	0.96444861469492	4	4	"Corte 1"	"Yes"	0.1
25	0.984002849002849	4	4	"Corte 1"	"Yes"	0.1
26	0.969876800766824	4	4	"Corte 1"	"Yes"	0.1
27	0.940881734673309	4	4	"Corte 1"	"Yes"	0.1
28	0.986982518232518	4	4	"Corte 1"	"Yes"	0.1
29	0.991880580357143	4	4	"Corte 1"	"Yes"	0.1
30	0.983554589832123	4	4	"Corte 1"	"Yes"	0.1
1	0.959754890544946	5	5	"Corte 1"	"Yes"	0.1
2	0.970521578657688	5	5	"Corte 1"	"Yes"	0.1
3	0.991807527284246	5	5	"Corte 1"	"Yes"	0.1
4	0.984622915886774	5	5	"Corte 1"	"Yes"	0.1
5	0.967168710560781	5	5	"Corte 1"	"Yes"	0.1
6	0.989432703003337	5	5	"Corte 1"	"Yes"	0.1
7	0.990415594964126	5	5	"Corte 1"	"Yes"	0.1
8	0.985494422994423	5	5	"Corte 1"	"Yes"	0.1
9	0.97213539199899	5	5	"Corte 1"	"Yes"	0.1
10	0.992923796904514	5	5	"Corte 1"	"Yes"	0.1
11	0.994687354448067	5	5	"Corte 1"	"Yes"	0.1
12	0.989481521591986	5	5	"Corte 1"	"Yes"	0.1
13	0.996433706408052	5	5	"Corte 1"	"Yes"	0.1
14	0.986256805205152	5	5	"Corte 1"	"Yes"	0.1
15	0.980625015996519	5	5	"Corte 1"	"Yes"	0.1
16	0.976112806482163	5	5	"Corte 1"	"Yes"	0.1
17	0.977329799107143	5	5	"Corte 1"	"Yes"	0.1
18	0.969029051077509	5	5	"Corte 1"	"Yes"	0.1
19	0.972792689891491	5	5	"Corte 1"	"Yes"	0.1
20	0.987271683254949	5	5	"Corte 1"	"Yes"	0.1
21	0.982512282565396	5	5	"Corte 1"	"Yes"	0.1
22	0.992018118043472	5	5	"Corte 1"	"Yes"	0.1
23	0.987648159700561	5	5	"Corte 1"	"Yes"	0.1
24	0.995817245817246	5	5	"Corte 1"	"Yes"	0.1
25	0.954057996979857	5	5	"Corte 1"	"Yes"	0.1
26	0.989757834757835	5	5	"Corte 1"	"Yes"	0.1
27	0.992617302854643	5	5	"Corte 1"	"Yes"	0.1
28	0.998644615009747	5	5	"Corte 1"	"Yes"	0.1
29	0.980243081132274	5	5	"Corte 1"	"Yes"	0.1
30	0.996755684255684	5	5	"Corte 1"	"Yes"	0.1
1	0.971453571037952	6	6	"Corte 1"	"Yes"	0.1
2	0.96753003003003	6	6	"Corte 1"	"Yes"	0.1
3	0.988312179785748	6	6	"Corte 1"	"Yes"	0.1
4	0.98330573536053	6	6	"Corte 1"	"Yes"	0.1
5	0.985738945691143	6	6	"Corte 1"	"Yes"	0.1
6	0.997869093212774	6	6	"Corte 1"	"Yes"	0.1
7	0.976516812865497	6	6	"Corte 1"	"Yes"	0.1
8	0.992849616137287	6	6	"Corte 1"	"Yes"	0.1
9	0.967229352678571	6	6	"Corte 1"	"Yes"	0.1
10	0.977303845695916	6	6	"Corte 1"	"Yes"	0.1
11	0.971958705357143	6	6	"Corte 1"	"Yes"	0.1
12	0.975889986903203	6	6	"Corte 1"	"Yes"	0.1
13	0.977163940965297	6	6	"Corte 1"	"Yes"	0.1
14	0.984400826446281	6	6	"Corte 1"	"Yes"	0.1
15	0.994010903227458	6	6	"Corte 1"	"Yes"	0.1
16	0.98195709170872	6	6	"Corte 1"	"Yes"	0.1
17	0.994529278980215	6	6	"Corte 1"	"Yes"	0.1
18	0.95329987877421	6	6	"Corte 1"	"Yes"	0.1
19	0.983803670604156	6	6	"Corte 1"	"Yes"	0.1
20	0.998577623111553	6	6	"Corte 1"	"Yes"	0.1
21	0.990786562645552	6	6	"Corte 1"	"Yes"	0.1
22	0.990786427875244	6	6	"Corte 1"	"Yes"	0.1
23	0.989684315187671	6	6	"Corte 1"	"Yes"	0.1
24	0.972933915399669	6	6	"Corte 1"	"Yes"	0.1
25	0.989855627255824	6	6	"Corte 1"	"Yes"	0.1
26	0.981847837524992	6	6	"Corte 1"	"Yes"	0.1
27	0.996846833875659	6	6	"Corte 1"	"Yes"	0.1
28	0.956616363020304	6	6	"Corte 1"	"Yes"	0.1
29	0.984338612016768	6	6	"Corte 1"	"Yes"	0.1
30	0.977510294583465	6	6	"Corte 1"	"Yes"	0.1
1	0.977323767935122	7	7	"Corte 1"	"Yes"	0.1
2	0.959026097021993	7	7	"Corte 1"	"Yes"	0.1
3	0.985104386582219	7	7	"Corte 1"	"Yes"	0.1
4	0.983047467092142	7	7	"Corte 1"	"Yes"	0.1
5	0.980169624472987	7	7	"Corte 1"	"Yes"	0.1
6	0.96145958656896	7	7	"Corte 1"	"Yes"	0.1
7	0.957370121799652	7	7	"Corte 1"	"Yes"	0.1
8	0.962364672364672	7	7	"Corte 1"	"Yes"	0.1
9	0.970758616674429	7	7	"Corte 1"	"Yes"	0.1
10	0.96614152892562	7	7	"Corte 1"	"Yes"	0.1
11	0.990259227684633	7	7	"Corte 1"	"Yes"	0.1
12	0.980307675311404	7	7	"Corte 1"	"Yes"	0.1
13	0.940952685421995	7	7	"Corte 1"	"Yes"	0.1
14	0.982638888888889	7	7	"Corte 1"	"Yes"	0.1
15	0.993024282560706	7	7	"Corte 1"	"Yes"	0.1
16	0.984166805117129	7	7	"Corte 1"	"Yes"	0.1
17	0.981689267288771	7	7	"Corte 1"	"Yes"	0.1
18	0.986422154539172	7	7	"Corte 1"	"Yes"	0.1
19	0.964624416679211	7	7	"Corte 1"	"Yes"	0.1
20	0.984830035514967	7	7	"Corte 1"	"Yes"	0.1
21	0.934638178415471	7	7	"Corte 1"	"Yes"	0.1
22	0.973284332890244	7	7	"Corte 1"	"Yes"	0.1
23	0.955732518232518	7	7	"Corte 1"	"Yes"	0.1
24	0.972919347919348	7	7	"Corte 1"	"Yes"	0.1
25	0.97497962272939	7	7	"Corte 1"	"Yes"	0.1
26	0.974054770063639	7	7	"Corte 1"	"Yes"	0.1
27	0.990909090909091	7	7	"Corte 1"	"Yes"	0.1
28	0.991727120535714	7	7	"Corte 1"	"Yes"	0.1
29	0.978865859338612	6	7	"Corte 1"	"Yes"	0.1
30	0.971391033891034	7	7	"Corte 1"	"Yes"	0.1
1	0.949560037904427	8	8	"Corte 1"	"Yes"	0.1
2	0.984933829158919	7	8	"Corte 1"	"Yes"	0.1
3	0.997752808988764	8	8	"Corte 1"	"Yes"	0.1
4	0.964231354642314	8	8	"Corte 1"	"Yes"	0.1
5	0.965545336537134	8	8	"Corte 1"	"Yes"	0.1
