"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
2	0.898445635612264	4	4	"Churn"	"Yes"	0.1
3	0.898708887657058	4	4	"Churn"	"Yes"	0.1
4	0.911727555382822	4	4	"Churn"	"Yes"	0.1
5	0.910229132569558	4	4	"Churn"	"Yes"	0.1
6	0.888162894901027	4	4	"Churn"	"Yes"	0.1
7	0.904851603933309	4	4	"Churn"	"Yes"	0.1
8	0.84667269984917	4	4	"Churn"	"Yes"	0.1
9	0.90195110884238	4	4	"Churn"	"Yes"	0.1
10	0.871867769408753	4	4	"Churn"	"Yes"	0.1
11	0.882883522727273	4	4	"Churn"	"Yes"	0.1
12	0.884643710834033	4	4	"Churn"	"Yes"	0.1
13	0.877923768939394	4	4	"Churn"	"Yes"	0.1
14	0.859593268304432	4	4	"Churn"	"Yes"	0.1
15	0.896142796014426	4	4	"Churn"	"Yes"	0.1
16	0.917081318888144	4	4	"Churn"	"Yes"	0.1
17	0.872987346414818	4	4	"Churn"	"Yes"	0.1
18	0.904185809086269	4	4	"Churn"	"Yes"	0.1
19	0.888304690601781	4	4	"Churn"	"Yes"	0.1
20	0.864542848814613	4	4	"Churn"	"Yes"	0.1
21	0.908548017043592	4	4	"Churn"	"Yes"	0.1
22	0.875498449268941	4	4	"Churn"	"Yes"	0.1
23	0.89754802436358	4	4	"Churn"	"Yes"	0.1
24	0.899285130718954	4	4	"Churn"	"Yes"	0.1
25	0.896556625104981	4	4	"Churn"	"Yes"	0.1
26	0.875242985512562	4	4	"Churn"	"Yes"	0.1
27	0.866389255581702	4	4	"Churn"	"Yes"	0.1
28	0.84281435295556	4	4	"Churn"	"Yes"	0.1
29	0.898354708574181	4	4	"Churn"	"Yes"	0.1
30	0.904766657351591	4	4	"Churn"	"Yes"	0.1
1	0.856873892047191	5	5	"Churn"	"Yes"	0.1
2	0.89927108809284	5	5	"Churn"	"Yes"	0.1
3	0.896983708459118	5	5	"Churn"	"Yes"	0.1
4	0.922519713918944	5	5	"Churn"	"Yes"	0.1
5	0.908501746506986	5	5	"Churn"	"Yes"	0.1
6	0.897628383506198	5	5	"Churn"	"Yes"	0.1
7	0.891436432420039	5	5	"Churn"	"Yes"	0.1
8	0.913768115942029	5	5	"Churn"	"Yes"	0.1
9	0.891937770259807	5	5	"Churn"	"Yes"	0.1
10	0.858444892719604	5	5	"Churn"	"Yes"	0.1
11	0.946614583333333	5	5	"Churn"	"Yes"	0.1
12	0.903276018099547	5	5	"Churn"	"Yes"	0.1
13	0.889276571653621	5	5	"Churn"	"Yes"	0.1
14	0.890362669904717	5	5	"Churn"	"Yes"	0.1
15	0.876339532531084	5	5	"Churn"	"Yes"	0.1
16	0.899449844122501	5	5	"Churn"	"Yes"	0.1
17	0.884624378476838	5	5	"Churn"	"Yes"	0.1
18	0.856165779504148	5	5	"Churn"	"Yes"	0.1
19	0.866667897405602	5	5	"Churn"	"Yes"	0.1
20	0.895465763645756	5	5	"Churn"	"Yes"	0.1
21	0.927788172029688	5	5	"Churn"	"Yes"	0.1
22	0.901830351366294	5	5	"Churn"	"Yes"	0.1
23	0.923792056665823	5	5	"Churn"	"Yes"	0.1
24	0.903715047359764	5	5	"Churn"	"Yes"	0.1
